title,authors,cover,summary,language,categories,editor,publicationYear,pagesNumber,amazonLink,kindleLink,audibleLink,fnacLink,ISBN,rating
#AskGaryVee,['Gary Vaynerchuk'],dataset/Business-Finance-Law/0000422.jpg,,,"['Business', 'Finance', 'Law']",,,,,,,,9780062273123,4.0
#GIRLBOSS,['Sophia Amoruso'],dataset/Business-Finance-Law/0000410.jpg,,,"['Business', 'Finance', 'Law']",,,,,,,,9780143108597,3.5
#Girlboss,['Sophia Amoruso'],dataset/Biography/0000044.jpg,,,['Biography'],,,,,,,,9780241217931,3.5
#cook for Syria,['Serena Guen'],dataset/Food-Drink/0000420.jpg,,,"['Food', 'Drink']",,,,,,,,9781527203341,4.5
#girlboss,['Sophia Amoruso'],dataset/Biography/0000840.jpg,,,['Biography'],,,,,,,,9780399169274,3.5
(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide,['Mike Chapple'],dataset/Computing/0000941.jpg,,,['Computing'],,,,,,,,9781119475934,4.0
"(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide, 8e & CISSP Official (ISC)2 Practice Tests, 2e",['Mike Chapple'],dataset/Computing/0000495.jpg,,,['Computing'],,,,,,,,9781119523260,4.5
1 Corinthians,['David E. Garland'],dataset/Reference/0000800.jpg,,,['Reference'],,,,,,,,9780801026300,4.0
1 Page at a Time,['Adam J. Kurtz'],dataset/Personal-Development/0000879.jpg,,,['Personal Development'],,,,,,,,9780141981024,4.0
"1,000 Places to See Before You Die",['Patricia Schultz'],dataset/Travel-Holiday-Guides/0000142.jpg,,,"['Travel', 'Holiday', 'Guides']",,,,,,,,9780761156864,4.0
"1,227 QI Facts to Blow Your Socks Off",['John Lloyd'],dataset/Humour/0000112.jpg,,,['Humour'],,,,,,,,9780571297917,4.0
"1,234 QI Facts to Leave You Speechless",['John Lloyd'],dataset/Humour/0000539.jpg,,,['Humour'],,,,,,,,9780571326686,4.0
"1,339 QI Facts To Make Your Jaw Drop",['John Mitchinson'],dataset/Humour/0000396.jpg,,,['Humour'],,,,,,,,9780571308941,4.0
"1,342 QI Facts To Leave You Flabbergasted",['John Lloyd'],dataset/Humour/0000237.jpg,,,['Humour'],,,,,,,,9780571332465,4.5
"1,411 QI Facts To Knock You Sideways",['John Lloyd'],dataset/Humour/0000428.jpg,,,['Humour'],,,,,,,,9780571317776,4.0
"1,423 QI Facts to Bowl You Over",['John Lloyd'],dataset/Humour/0000550.jpg,,,['Humour'],,,,,,,,9780571339105,4.5
"1,500 Color Mixing Recipes for Oil, Acrylic & Watercolor",['William F. Powell'],dataset/Art-Photography/0000756.jpg,,,"['Art', 'Photography']",,,,,,,,9781600582837,4.5
1-2-3 Magic,['Thomas W. Phelan'],dataset/Health/0000369.jpg,,,['Health'],,,,,,,,9781492629887,4.0
10 Mindframes for Visible Learning,['John Hattie'],dataset/Teaching-Resources-Education/0000199.jpg,,,"['Teaching Resources', 'Education']",,,,,,,,9781138635524,4.0
10 Minutes 38 Seconds in this Strange World,['Elif Shafak'],dataset/Crime-Thriller/0000095.jpg,,,"['Crime', 'Thriller']",,,,,,,,9780241293867,4.0
10 Principles for Doing Effective Couples Therapy,['John M. Gottman'],dataset/Medical/0000618.jpg,,,['Medical'],,,,,,,,9780393708356,4.5
10 Things Girls Need Most,['Steve Biddulph'],dataset/Health/0000326.jpg,,,['Health'],,,,,,,,9780008146795,4.0
10 Week-By-Week Sight Word Packets,['Lisa McKeon'],dataset/Teaching-Resources-Education/0000784.jpg,,,"['Teaching Resources', 'Education']",,,,,,,,9780545204583,4.0
10% Happier,['Dan Harris'],dataset/Health/0000434.jpg,,,['Health'],,,,,,,,9781444799057,4.0
10% Human,['Alanna Collen'],dataset/Science-Geography/0000484.jpg,,,"['Science', 'Geography']",,,,,,,,9780007584055,4.5
